Time_s,GateDisplacement_cm,LiftSpeed_cm_per_s
0,-0,-0
0.0166833344725228,-0,-0
0.0333666689450456,-0,-0
0.0500500034175684,-0,-0
0.0667333378900913,-0,-0
0.0834166723626141,-0,-0
0.100100006835137,-0,-0
0.11678334130766,-0,-0
0.133466675780183,-0,-0
0.150150010252705,-0,-0
0.166833344725228,-0,-0
0.183516679197751,-0,-0
0.200200013670274,-0,-0
0.216883348142797,-0,-0
0.233566682615319,-0,-0
0.250250017087842,-0,-0
0.266933351560365,-0,-0
0.283616686032888,-0,-0
0.300300020505411,-0,-0
0.316983354977933,-0,-0
0.333666689450456,-0,-0
0.350350023922979,-0,-0
0.367033358395502,-0,-0
0.383716692868025,-0,-0
0.400400027340548,-0,-0
0.41708336181307,-0,-0
0.433766696285593,-0,-0
0.450450030758116,-0,-0
0.467133365230639,-0,-0
0.483816699703162,-0,-0
0.500500034175684,-0,-0
0.517183368648207,-0,-0
0.53386670312073,-0,-0
0.550550037593253,-0,-0
0.567233372065776,-0,-0
0.583916706538298,-0,-0
0.600600041010821,-0,-0
0.617283375483344,-0,-0
0.633966709955867,-0,-0
0.65065004442839,-0,-0
0.667333378900912,-0,-0
0.684016713373435,-0,-0
0.700700047845958,-0,-0
0.717383382318481,-0,-0
0.734066716791004,-0,-0
0.750750051263527,-0,-0
0.767433385736049,-0,-0
0.784116720208572,-0,-0
0.800800054681095,-0,-0
0.817483389153618,-0,-0
0.834166723626141,-0,-0
0.850850058098663,-0,-0
0.867533392571186,-0,-0
0.884216727043709,-0,-0
0.900900061516232,-0,-0
0.917583395988755,-0,-0
0.934266730461278,-0,-0
0.9509500649338,-0,-0
0.967633399406323,-0,-0
0.984316733878846,-0,-0
1.00100006835137,-0,-0
1.01768340282389,-0,-0
1.03436673729641,-0,-0
1.05105007176894,-0,-0
1.06773340624146,-0,-0
1.08441674071398,-0,-0
1.10110007518651,-0,-0
1.11778340965903,-0,-0
1.13446674413155,-0,-0
1.15115007860407,-0,-0
1.1678334130766,-0,-0
1.18451674754912,-0,-0
1.20120008202164,-0,-0
1.21788341649417,-0,-0
1.23456675096669,-0,-0
1.25125008543921,-0,-0
1.26793341991173,-0,-0
1.28461675438426,-0,-0
1.30130008885678,-0,-0
1.3179834233293,-0,-0
1.33466675780182,-0,-0
1.35135009227435,-0,-0
1.36803342674687,-0,-0
1.38471676121939,-0,-0
1.40140009569192,-0,-0
1.41808343016444,-0,-0
1.43476676463696,-0,-0
1.45145009910948,-0,0.0361956858980463
1.46813343358201,-0,0.0723913717960925
1.48481676805453,-0,0.0723913717960925
1.50150010252705,-0,0.0723913717960925
1.51818343699958,-0,0.0723913717960925
1.5348667714721,-0,0.0723913717960925
1.55155010594462,0.0144927536231876,0.0361956858980463
1.56823344041714,0.0144927536231876,-0
1.58491677488967,0.0144927536231876,-0
1.60160010936219,0.0144927536231876,-0
1.61828344383471,0.0144927536231876,-0
1.63496677830724,0.0144927536231876,-0
